Time(s), Acceleration_X, Acceleration_Y, Acceleration_Z, Gyro_X(dps), Gyro_Y(dps), Gyro_Z(dps), Magnetometer_X, Magnetometer_Y, Magnetometer_Z
50.28181291,0.220703125,0.011474609,-1.109619141,61.27929688,31.92138672,-38.75732422,-18.10161401,19.89385302,17.10533997
50.29194713,0.24609375,-0.009521484,-1.123046875,69.45800781,31.34155273,-44.6472168,-18.81850962,22.04453984,18.83315209
50.30207682,0.250244141,-0.025634766,-1.124511719,71.5637207,26.03149414,-47.18017578,-17.74316621,22.04453984,18.48758967
50.31220198,0.250976563,-0.041748047,-1.107910156,66.71142578,21.60644531,-46.41723633,-17.74316621,22.04453984,18.48758967
50.3223331,0.258300781,-0.053222656,-1.117919922,60.69946289,16.41845703,-44.25048828,-17.74316621,22.04453984,18.48758967
50.33245897,0.257568359,-0.071777344,-1.138671875,54.99267578,7.568359375,-40.40527344,-17.74316621,22.04453984,18.48758967
50.34258556,0.260253906,-0.066162109,-1.172119141,52.79541016,0.061035156,-40.7409668,-17.74316621,22.04453984,18.48758967
50.35271358,0.248291016,-0.085693359,-1.166992188,51.7578125,-9.857177734,-41.62597656,-17.74316621,22.04453984,18.48758967
50.36290956,0.222167969,-0.084472656,-1.136962891,48.70605469,-16.20483398,-38.66577148,-19.71462912,22.58221154,14.51362179
50.37304759,0.233642578,-0.073730469,-1.093261719,49.5300293,-18.98193359,-41.47338867,-19.17695742,23.11988324,16.41421513
50.383219,0.249267578,-0.114990234,-1.099609375,52.06298828,-20.01953125,-44.55566406,-21.32764423,22.40298764,14.68640301
50.39336181,0.240234375,-0.106201172,-1.049316406,50.99487305,-16.69311523,-42.44995117,-18.46006181,23.83677885,16.0686527
50.40355444,0.244384766,-0.111816406,-1.049316406,50.75073242,-13.3972168,-39.48974609,-19.89385302,22.04453984,16.41421513
50.413692,0.229492188,-0.127929688,-1.083251953,49.46899414,-6.225585938,-37.78076172,-19.89385302,22.04453984,16.41421513
50.42381907,0.272460938,-0.158935547,-1.108642578,45.13549805,-7.171630859,-34.54589844,-19.89385302,22.04453984,16.41421513
50.43395329,0.250244141,-0.155273438,-1.111328125,39.36767578,-11.84082031,-31.86035156,-19.89385302,22.04453984,16.41421513
50.44410205,0.246826172,-0.144042969,-1.10546875,32.53173828,-13.9465332,-29.38842773,-19.89385302,22.04453984,16.41421513
50.4543283,0.2421875,-0.140869141,-1.125976563,25.48217773,-21.57592773,-28.71704102,-20.61074863,22.40298764,16.0686527
50.46446085,0.215820313,-0.14453125,-1.12890625,16.44897461,-25.05493164,-28.96118164,-20.07307692,22.94065934,14.51362179
50.47458792,0.205078125,-0.124267578,-1.11328125,11.53564453,-27.98461914,-26.97753906,-19.17695742,24.19522665,13.64971574
50.48476744,0.216064453,-0.147705078,-1.111572266,8.453369141,-29.11376953,-25.51269531,-20.07307692,22.58221154,14.85918422
50.49489832,0.216308594,-0.126708984,-1.070800781,7.110595703,-24.78027344,-20.81298828,-18.81850962,21.68609203,15.72309028
50.50502872,0.216552734,-0.115478516,-1.043945313,9.124755859,-20.59936523,-20.87402344,-20.96919643,21.32764423,15.37752785
50.51515341,0.20703125,-0.116455078,-1.034667969,11.84082031,-11.62719727,-21.30126953,-20.96919643,21.32764423,15.37752785
50.52528214,0.203857422,-0.129638672,-1.083007813,17.70019531,-2.990722656,-23.40698242,-20.96919643,21.32764423,15.37752785
50.5354073,0.190185547,-0.145507813,-1.122558594,23.52905273,2.258300781,-24.53613281,-20.96919643,21.32764423,15.37752785
50.545614,0.1796875,-0.164794922,-1.140136719,25.02441406,6.286621094,-23.10180664,-20.96919643,21.32764423,15.37752785
50.55574012,0.200927734,-0.169921875,-1.169189453,26.24511719,5.187988281,-23.28491211,-19.53540522,21.32764423,15.72309028
50.56586933,0.217285156,-0.174804688,-1.148193359,23.80371094,-1.647949219,-22.39990234,-21.14842033,21.14842033,14.51362179
50.57599449,0.229492188,-0.171630859,-1.159179688,18.61572266,-10.7421875,-21.33178711,-19.89385302,20.96919643,13.99527816
50.58620811,0.237060547,-0.175292969,-1.164794922,15.44189453,-25.72631836,-19.34814453,-20.07307692,22.58221154,14.51362179
50.59634018,0.223876953,-0.171630859,-1.119384766,9.796142578,-34.85107422,-16.78466797,-20.43152473,22.94065934,14.85918422
50.60647297,0.225341797,-0.155517578,-1.09765625,6.988525391,-37.23144531,-18.76831055,-19.89385302,22.04453984,16.75977755
50.61660123,0.21484375,-0.158691406,-1.084960938,6.652832031,-40.58837891,-18.89038086,-19.89385302,22.04453984,16.75977755
50.62672424,0.20703125,-0.157226563,-1.056152344,4.760742188,-40.34423828,-18.89038086,-19.89385302,22.04453984,16.75977755
50.63685465,0.187988281,-0.156494141,-1.049316406,5.065917969,-40.16113281,-18.49365234,-19.89385302,22.04453984,16.75977755
50.64698362,0.167236328,-0.172119141,-1.052490234,4.089355469,-34.1796875,-16.66259766,-19.89385302,22.04453984,16.75977755
50.6571219,0.157470703,-0.166992188,-1.079589844,3.356933594,-30.21240234,-13.54980469,-19.89385302,22.04453984,16.75977755
50.6672492,0.183105469,-0.158203125,-1.086914063,2.9296875,-30.12084961,-12.14599609,-19.17695742,20.96919643,14.68640301
50.67737913,0.164306641,-0.161865234,-1.075683594,3.234863281,-29.38842773,-12.90893555,-20.96919643,20.96919643,16.41421513
50.68757582,0.158691406,-0.176757813,-1.115478516,2.471923828,-28.93066406,-13.03100586,-19.53540522,20.96919643,16.41421513
50.69771862,0.179931641,-0.164306641,-1.106201172,2.136230469,-32.95898438,-12.02392578,-18.63928571,20.78997253,15.55030907
50.70785069,0.145996094,-0.171630859,-1.095703125,-2.502441406,-35.52246094,-9.613037109,-18.99773352,19.71462912,16.24143391
50.71798515,0.155761719,-0.173583984,-1.159423828,-8.148193359,-41.80908203,-5.859375,-18.99773352,19.71462912,16.24143391
50.72811413,0.150146484,-0.159423828,-1.168457031,-9.338378906,-49.28588867,-6.805419922,-18.99773352,19.71462912,16.24143391
50.73825026,0.151367188,-0.154296875,-1.169189453,-10.92529297,-57.6171875,-7.873535156,-18.99773352,19.71462912,16.24143391
50.74839115,0.128173828,-0.158203125,-1.144042969,-10.07080078,-62.04223633,-9.918212891,-18.99773352,19.71462912,16.24143391
50.75854611,0.116210938,-0.163818359,-1.138183594,-8.514404297,-63.29345703,-7.965087891,-18.99773352,20.07307692,16.24143391
50.76867938,0.133056641,-0.147705078,-1.150878906,-4.028320313,-67.62695313,-8.972167969,-17.74316621,19.89385302,17.10533997
50.77880359,0.107177734,-0.160400391,-1.124267578,-1.251220703,-71.89941406,-7.019042969,-18.46006181,20.25230082,18.14202724
50.78900361,0.0625,-0.161865234,-1.055908203,-4.150390625,-64.05639648,-3.326416016,-16.6678228,21.68609203,18.14202724
50.79913306,0.084960938,-0.117919922,-1.131591797,-5.249023438,-62.2253418,-1.922607422,-18.28083791,18.99773352,18.31480846
50.80926585,0.020996094,-0.157226563,-1.094726563,-2.044677734,-57.64770508,-4.028320313,-17.74316621,21.68609203,18.48758967
50.81939507,-0.003662109,-0.158691406,-1.064697266,-6.042480469,-42.14477539,0.518798828,-17.74316621,21.68609203,18.48758967
50.82954931,0.018066406,-0.132324219,-1.067626953,-8.392333984,-32.28759766,2.655029297,-17.74316621,21.68609203,18.48758967
50.83967614,0.008789063,-0.151611328,-1.097412109,-12.26806641,-22.70507813,3.723144531,-17.74316621,21.68609203,18.48758967
50.84981012,0.015869141,-0.184326172,-1.137207031,-12.66479492,-22.30834961,3.814697266,-17.74316621,21.68609203,18.48758967
50.85993576,0.026855469,-0.1484375,-1.145996094,-14.09912109,-23.52905273,2.899169922,-16.4885989,20.78997253,19.35149573
50.87007093,0.029541016,-0.162597656,-1.181884766,-13.15307617,-30.85327148,0.793457031,-18.10161401,20.61074863,20.21540179
50.88036776,0.022949219,-0.143066406,-1.127685547,-17.18139648,-32.25708008,1.007080078,-15.5924794,22.04453984,20.56096421
50.89054084,0.014892578,-0.162597656,-1.143554688,-19.50073242,-37.01782227,4.211425781,-16.6678228,20.96919643,18.48758967
50.90067339,0.016601563,-0.107177734,-1.086181641,-20.05004883,-35.40039063,3.814697266,-15.41325549,18.99773352,19.69705815
50.91080236,-0.002685547,-0.146240234,-1.096191406,-23.1628418,-33.84399414,6.256103516,-17.0262706,20.61074863,21.25208906
50.92096114,-0.000976563,-0.122802734,-1.084716797,-26.18408203,-30.39550781,7.171630859,-17.0262706,20.61074863,21.25208906
50.93108797,0.010742188,-0.084716797,-1.083251953,-23.74267578,-26.48925781,3.875732422,-17.0262706,20.61074863,21.25208906
50.94122124,-0.037109375,-0.149414063,-1.106201172,-22.15576172,-21.54541016,5.554199219,-17.0262706,20.61074863,21.25208906
50.95134759,-0.033691406,-0.135742188,-1.097900391,-26.00097656,-14.6484375,5.920410156,-17.0262706,20.61074863,21.25208906
50.96151161,-0.025634766,-0.092529297,-1.105224609,-22.43041992,-10.62011719,4.455566406,-14.87558379,19.89385302,20.56096421
50.97164059,-0.033203125,-0.103759766,-1.106201172,-20.62988281,-6.164550781,3.021240234,-15.41325549,19.71462912,22.11599512
50.98182964,-0.020751953,-0.100341797,-1.135009766,-21.30126953,-5.798339844,2.075195313,-15.05480769,20.43152473,20.73374542
50.99198556,-0.024169922,-0.093017578,-1.143066406,-21.66748047,-8.972167969,5.004882813,-15.7717033,19.35618132,20.73374542
51.00212026,-0.025146484,-0.092041016,-1.145019531,-22.21679688,-11.59667969,6.103515625,-14.69635989,18.99773352,21.07930784
51.01224566,-0.006835938,-0.080078125,-1.168457031,-25.20751953,-17.70019531,5.920410156,-14.51713599,20.61074863,19.86983936
51.02237535,-0.039794922,-0.100341797,-1.167236328,-26.91650391,-24.56665039,7.293701172,-14.51713599,20.61074863,19.86983936
51.03253198,-0.016601563,-0.075439453,-1.129638672,-30.85327148,-28.65600586,7.110595703,-14.51713599,20.61074863,19.86983936
51.04265857,-0.027587891,-0.080810547,-1.136474609,-33.99658203,-34.24072266,6.195068359,-14.51713599,20.61074863,19.86983936
51.05278778,-0.019287109,-0.04296875,-1.173095703,-37.44506836,-41.10717773,2.9296875,-14.51713599,20.61074863,19.86983936
51.06291103,-0.056152344,-0.046142578,-1.192871094,-32.37915039,-52.39868164,0.732421875,-14.33791209,19.35618132,23.15268239
51.0730412,-0.100341797,-0.077392578,-1.192626953,-30.73120117,-55.99975586,-1.892089844,-15.5924794,18.10161401,21.9432139
51.08320642,-0.106445313,-0.06640625,-1.205322266,-29.08325195,-60.33325195,-0.549316406,-13.80024038,17.74316621,22.63433875
51.09346366,-0.097900391,-0.036865234,-1.148681641,-23.86474609,-62.80517578,2.136230469,-13.80024038,19.17695742,22.97990118
51.1036799,-0.123046875,-0.038085938,-1.093017578,-19.56176758,-55.26733398,3.692626953,-13.08334478,19.53540522,24.01658845
51.11388922,-0.130126953,-0.040771484,-1.086669922,-19.59228516,-43.9453125,8.178710938,-13.44179258,17.74316621,23.3254636
51.12409925,-0.12109375,-0.024169922,-1.085449219,-19.86694336,-32.83691406,8.483886719,-13.44179258,17.74316621,23.3254636
51.13430643,-0.118896484,-0.025634766,-1.106445313,-19.77539063,-25.29907227,6.683349609,-13.44179258,17.74316621,23.3254636
51.14451575,-0.112304688,-0.019042969,-1.100830078,-19.59228516,-23.10180664,6.866455078,-13.44179258,17.74316621,23.3254636
51.15471888,-0.123535156,-0.029296875,-1.117675781,-21.42333984,-22.33886719,7.690429688,-13.44179258,17.74316621,23.3254636
51.16492057,-0.12109375,-0.035400391,-1.114013672,-24.26147461,-23.10180664,7.934570313,-12.36644918,18.46006181,24.36215087
51.17512727,-0.122314453,-0.035644531,-1.09765625,-26.33666992,-23.07128906,10.19287109,-12.72489698,17.38471841,24.01658845
51.18537164,-0.142089844,-0.047119141,-1.095214844,-28.90014648,-20.29418945,13.58032227,-12.36644918,17.38471841,25.39883814
51.19562745,-0.12109375,-0.021484375,-1.091796875,-28.10668945,-18.31054688,16.17431641,-11.47032967,17.56394231,25.91718178
51.20575857,-0.139404297,-0.006835938,-1.111572266,-23.80371094,-13.45825195,16.26586914,-11.82877747,18.28083791,23.84380723
51.2158823,-0.139404297,-0.001464844,-1.10546875,-20.56884766,-8.361816406,15.19775391,-11.82877747,17.20549451,25.57161935
51.22601485,-0.128417969,0.026123047,-1.109130859,-19.10400391,-4.241943359,13.27514648,-11.82877747,17.20549451,25.57161935
51.23613977,-0.12890625,0.006591797,-1.1015625,-17.54760742,-2.716064453,12.35961914,-11.82877747,17.20549451,25.57161935
51.24627304,-0.1328125,0.025634766,-1.104248047,-16.78466797,-2.105712891,13.51928711,-11.82877747,17.20549451,25.57161935
51.25639701,-0.133056641,0.022705078,-1.117431641,-18.06640625,-3.631591797,16.26586914,-11.82877747,17.20549451,25.57161935
